acousticness,album,artist,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,playlist,popularity,speechiness,tempo,time_signature,track_id,track_name,valence
0.338,Iskoki,Samini,0.85,211905,0.947,0.0,5,0.11,-3.813,1,Afrobeats 2014,10.0,0.0449,114.941,4,7zTDwlFZfDVIEHAADL7WeE,Iskoki,0.966
0.251,M3gye Wo Girl (feat. Shatta Wale),Sarkodie,0.872,211320,0.906,0.0,2,0.0514,-3.207,1,Afrobeats 2014,27.0,0.0833,116.029,4,3niXSFCV15azk4ziV8woxH,M3gye Wo Girl (feat. Shatta Wale),0.877
0.229,Re-Vee-Lation,MzVee,0.532,214200,0.883,0.0,2,0.0333,-4.642,0,Afrobeats 2014,10.0,0.303,131.333,5,60YhtfNQJf7tE66VUZ005x,Dancehall Queen (feat. Shatta Wale),0.766
0.193,Man of the Year,Skales,0.855,208874,0.872,2.87e-05,6,0.0615,-4.09,1,Afrobeats 2014,55.0,0.0548,130.998,4,0RTKzoAF6R3YoHrdBjmmtJ,Shake Body,0.96
0.209,Tchelete,DaVido,0.764,239546,0.707,4.17e-06,10,0.202,-8.716,0,Afrobeats 2014,23.0,0.133,125.055,4,4RYpxOLihDNMI6DNo7j3i2,Tchelete,0.812
0.242,"Dorobucci (feat. Don Jazzy, Dr Sid, Dr Sid Tiwa Savage, Reekado Banks, Di'ja, Korede Bello & D'prince)",Mavins,0.571,266903,0.736,8.02e-06,2,0.186,-8.697,1,Afrobeats 2014,44.0,0.141,197.952,3,06B0pbiRWZJAfxJXu6R4wY,"Dorobucci (feat. Don Jazzy, Dr Sid, Dr Sid Tiwa Savage, Reekado Banks, Di'ja, Korede Bello & D'prince)",0.481
0.0226,Double Trouble,P-Square,0.82,218095,0.857,0.0163,9,0.0283,-4.862,0,Afrobeats 2014,52.0,0.0756,94.459,3,0J5yZ8WhWPyNnDYg1EWN4J,Shekini,0.981
0.54,Shoki,Lil Kesh,0.793,176507,0.906,0.0,11,0.231,-4.356,0,Afrobeats 2014,21.0,0.215,136.045,4,3HH7fRWXKfJ0y7hBNUItW6,Shoki,0.821
0.0649,Best of Guru,Guru,0.962,246439,0.743,0.000287,9,0.16,-3.691,0,Afrobeats 2014,0.0,0.0987,115.007,4,0VliOlkCY8fWiHKKHn58zH,Obasam Ani,0.718
0.226,Lagos Party Jams,Various Artists,0.774,192313,0.744,0.0,6,0.162,-7.342,1,Afrobeats 2014,10.0,0.171,122.945,4,4WdaunNmvW4GxhAEiV8P0Q,Show You the Money,0.853
0.022,My Everything,MzVee,0.67,248870,0.938,0.000129,2,0.103,-5.077,0,Afrobeats 2014,3.0,0.17,114.996,4,6cKGoMZKWvSvSLLtNZKZJo,My Everything,0.893
0.0181,Shelele,El Lomi,0.922,186070,0.824,0.0,2,0.0814,-3.169,1,Afrobeats 2014,7.0,0.145,110.954,4,6mXts3wtRu6jvzgbRRl9zs,Shelele,0.779
0.104,T.I.N.A.,Fuse ODG,0.663,201625,0.914,0.0,11,0.434,-5.059,1,Afrobeats 2014,48.0,0.0811,127.151,4,6wUojRESeyAEm3lEbXgAXK,T.I.N.A. - Radio Edit,0.892
0.157,R.E.D (Deluxe Edition),Tiwa Savage,0.779,249587,0.834,4.22e-06,1,0.12,-4.006,1,Afrobeats 2014,30.0,0.0497,124.978,4,5ia2tnSaUNHhx2GZaseEjC,My Darlin,0.962
0.0179,Best of Guru,Guru,0.925,287791,0.884,0.0,8,0.119,-3.402,1,Afrobeats 2014,1.0,0.229,127.984,4,0wqphoNYD9IdjzEXIFUEuh,Lapaz Toyota,0.856
